pos	browser_phylop_allbr	phylop_allbr	phylop_dmel	phylop_dsim	isConsEl	is661	isCDS	isUTR5	isUTR3	isIntron	isIntergenic
11110432	0.382315	0.43	0.084	0.051	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
11110433	0.453504	0.506	0.117	0.07	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
11110434	5.57911	5.59	0	0	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
11110435	-0.187197	-0.181	0.126	0.077	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
11110436	1.52134	1.586	0.044	0.027	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110437	2.51798	2.532	0	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110438	1.0942	1.137	0.051	0.032	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110439	1.66372	1.708	0.06	0.037	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110440	0.311126	0.355	0.119	0.071	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110441	1.73491	1.798	0.037	0.011	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110442	-0.187197	-0.149	0.103	0.091	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110443	-0.614331	-0.598	0.16	0.096	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110444	-0.116008	-0.05	0.167	0.099	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110445	-1.75335	-1.72	-0.389	0.111	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110446	0.239937	0.301	0.086	0.006	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110447	1.02302	1.05	0.088	0.054	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110448	0.0975591	0.144	0.143	0.085	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110449	-0.827898	-0.765	0.242	0.147	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110450	0.0263701	0.038	0.154	0.091	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110451	0.0975591	0.109	0.144	0.086	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110452	0.0263701	0.091	0.146	0.087	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110453	0.168748	0.172	-1.654	0.084	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110454	-0.116008	-0.071	0.168	0.1	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110455	0.453504	0.485	0.117	0.07	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110456	0.951827	1.007	0.09	0.055	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110457	-2.03811	-2.028	-1.036	0.155	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110458	1.02302	1.036	0.089	0.054	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110459	0.880638	0.891	0.093	0.056	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110460	0.880638	0.938	0.092	0.056	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110461	1.02302	1.042	0.089	0.054	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110462	0.0975591	0.107	0.145	0.086	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110463	0.382315	0.385	0.122	0.073	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110464	0.168748	0.173	-0.086	-0.663	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110465	0.453504	0.497	0.078	0.048	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110466	0.880638	0.889	0.102	0.061	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110467	0.453504	0.471	0.121	0.073	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110468	-1.18384	-1.167	0.21	0.124	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110469	2.30442	2.353	0.039	0.024	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110470	1.02302	1.036	0.054	0.033	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110471	-0.116008	-0.07	0.119	0.072	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110472	-0.187197	-0.129	0.172	0.102	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110473	0.239937	0.256	0.093	0.056	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110474	-0.187197	-0.179	0.127	0.077	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110475	0.168748	0.205	0.093	0.056	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110476	-0.0448189	0.01	0.111	0.067	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110477	-0.0448189	-0.034	0.163	0.096	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110478	-0.827898	-0.798	0.257	0.149	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110479	0.524693	0.586	0.075	0.046	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110480	-0.614331	-0.604	0.157	0.094	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110481	0.0975591	0.143	0.1	0.061	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110482	-0.471953	-0.452	-0.476	0.053	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110483	1.23658	1.28	0.083	0.05	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110484	1.80609	1.81	0.059	0.036	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110485	-0.329575	-0.275	0.137	0.065	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110486	3.79939	3.859	0	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110487	2.30442	2.353	0.053	0.032	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110488	0.168748	0.184	0.097	0.059	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110489	1.59253	1.599	0.077	0.047	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110490	-0.187197	-0.183	0.128	0.077	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110491	0.239937	0.284	0.091	0.055	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110492	0.595882	0.601	0.113	0.068	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110493	1.59253	1.596	0.077	0.047	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110494	2.4468	2.471	0.052	0.032	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110495	1.30777	1.374	0.082	0.05	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110496	0.311126	0.352	0.128	0.077	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110497	0.382315	0.398	0.081	-2.352	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110498	-0.116008	-0.062	0.165	0.098	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110499	0.311126	0.334	0.091	0.056	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110500	1.23658	1.286	0.068	0.042	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110501	-0.187197	-0.18	0.132	0.079	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110502	0.951827	0.954	0.091	0.055	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110503	3.44344	3.46	0	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110504	1.94847	1.984	0.057	0.035	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110505	-0.0448189	-0.01	0.114	0.069	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110506	1.87728	1.91	0.058	0.035	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110507	0.524693	0.577	0.112	0.067	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110508	1.94847	2.005	0.057	0.035	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110509	3.44344	3.514	0	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110510	1.87728	1.932	0.057	0.035	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110511	-0.827898	-0.769	0.237	0.138	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110512	-0.756709	-0.732	0.153	0.103	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110513	0.667071	0.699	-0.348	-2.336	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110514	0.168748	0.187	0.138	0.082	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110515	1.02302	1.034	0.088	0.054	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110516	0.880638	0.903	0.057	0.035	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110517	1.80609	1.856	0.058	0.036	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110518	1.80609	1.854	0.059	0.036	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110519	0.239937	0.265	0.133	0.079	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110520	1.87728	1.934	0.058	0.035	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110521	3.37225	3.41	0	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110522	3.44344	3.46	0	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110523	0.168748	0.185	0.136	0.081	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110524	0.0263701	0.073	0.105	0.063	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110525	0.880638	0.909	0.056	0.034	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110526	-0.116008	-0.047	0.118	0.071	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110527	-0.187197	-0.156	0.177	0.104	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110528	0.311126	0.373	0.083	0.05	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110529	0.595882	0.599	0.111	0.067	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110530	-0.329575	-0.303	0.141	0.084	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110531	0.168748	0.19	0.064	0.027	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110532	0.809449	0.873	0.057	0.035	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110533	-0.0448189	-0.035	0.164	0.097	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110534	0.0975591	0.144	0.141	0.084	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110535	2.30442	2.356	0.053	0.033	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110536	1.80609	1.857	0.061	0.037	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110537	2.80274	2.83	0.049	0.03	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110538	0.311126	0.317	0.131	0.078	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110539	-0.116008	-0.111	-1.083	-1.997	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110540	0.524693	0.591	0.117	0.07	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110541	1.0942	1.148	0.094	0.057	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110542	0.73826	0.75	0.109	0.066	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110543	-0.0448189	0.001	0.152	0.093	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110544	0.311126	0.357	0.129	0.077	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110545	0.311126	0.367	0.13	0.078	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110546	1.30777	1.33	0.082	0.05	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110547	0.0263701	0.043	0.109	0.066	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110548	0.0263701	0.086	0.139	0.082	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110549	1.16539	1.22	0	0	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110550	-0.471953	-0.402	0.379	0.213	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110551	-0.0448189	0.016	0.111	0.066	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110552	0.311126	0.352	0.123	0.074	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110553	0.0263701	0.067	0.151	0.09	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110554	2.94512	2.951	0	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110555	-0.0448189	0.017	0.111	0.067	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110556	0.951827	1.003	0.089	0.054	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110557	1.30777	1.34	0.082	0.05	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110558	0.880638	0.926	0.056	0.034	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110559	0.809449	0.852	0.058	0.035	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110560	0.880638	0.942	0.055	0.034	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110561	1.16539	1.199	0.084	0.051	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110562	3.58582	3.595	0	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110563	2.09085	2.091	0.056	0.034	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110564	-0.756709	-0.725	0.236	0.138	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110565	1.16539	1.181	0.051	0.031	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110566	0.453504	0.456	0.08	0.048	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110567	1.0942	1.147	0.051	0.032	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110568	0.239937	0.264	0.093	0.056	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110569	1.66372	1.685	0.076	0.046	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110570	1.66372	1.699	0.075	0.046	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110571	4.29771	4.342	0	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110572	0.809449	0.875	0.067	0.041	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110573	-0.0448189	0.018	0.11	0.067	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110574	0.0975591	0.108	0.147	0.087	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110575	0.239937	0.289	0.133	0.079	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110576	-0.543142	-0.526	0.149	0.089	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110577	-0.329575	-0.3	0.135	0.081	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110578	0.168748	0.184	0.097	0.059	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110579	2.80274	2.825	0.049	0.03	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110580	1.52134	1.551	0.046	0.029	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110581	0.595882	0.616	0.074	0.045	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110582	2.80274	2.857	0.049	0.03	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110583	0.951827	0.994	-1.987	0.059	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110584	0.595882	0.662	0.082	0.05	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110585	-0.116008	-0.09	0.17	0.1	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110586	1.87728	1.941	0.072	0.044	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110587	0.382315	0.422	0.085	0.052	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110588	1.45015	1.473	0.047	0.029	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110589	0.311126	0.382	0.086	0.052	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110590	4.3689	4.41	0	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110591	1.45015	1.475	0.079	0.048	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110592	0.0975591	0.128	0.085	0.076	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110593	4.29771	4.342	0	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110594	4.3689	4.41	0	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110595	2.23323	2.238	0.054	0.033	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110596	0.0263701	0.066	0.152	0.09	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110597	1.30777	1.374	0.081	0.049	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110598	4.08414	4.141	0	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110599	0.951827	1.017	0.097	0.058	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110600	2.23323	2.238	0.054	0.033	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110601	4.08414	4.141	0	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110602	2.37561	2.41	0	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110603	1.0942	1.152	0.052	0.032	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110604	2.51798	2.543	0.052	0.032	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110605	4.08414	4.141	0	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110606	2.37561	2.41	0	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110607	4.08414	4.141	0	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110608	1.45015	1.463	0.046	0.029	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110609	2.80274	2.82	0.049	0.03	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110610	4.3689	4.41	0	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110611	1.23658	1.297	0.049	0.03	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110612	4.3689	4.41	0	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110613	2.51798	2.558	0	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110614	2.01966	2.045	0.065	0.04	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110615	-0.329575	-0.314	0.198	0.116	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110616	2.4468	2.462	0.052	0.032	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110617	4.29771	4.342	0	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110618	1.87728	1.896	0.073	0.044	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110619	4.3689	4.41	0	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110620	4.29771	4.342	0	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110621	0.0263701	0.068	0.107	0.065	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110622	4.15533	4.219	0	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110623	1.87728	1.889	0.073	0.044	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110624	0.168748	0.231	0.094	0.057	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110625	2.37561	2.411	0.052	0.032	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110626	4.01295	4.016	0	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110627	4.15533	4.219	0	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110628	2.87393	2.879	0.049	0.03	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110629	0.73826	0.785	0.11	0.066	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110630	4.3689	4.41	0	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110631	4.29771	4.342	0	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110632	1.23658	1.268	0.092	0.056	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110633	4.29771	4.342	0	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110634	0.168748	0.182	0.1	0.06	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110635	4.01295	4.053	0	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110636	1.0942	1.142	0.094	0.057	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110637	4.29771	4.342	0	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110638	0.0263701	0.036	0.155	0.092	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110639	4.29771	4.342	0	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110640	1.87728	1.917	0.072	0.044	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110641	2.73155	2.78	0.049	0.03	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110642	0.382315	0.4	0.129	0.077	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110643	3.79939	3.861	0	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110644	3.30106	3.326	0	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110645	0.382315	0.391	0.121	0.073	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110646	1.80609	1.842	0.059	0.036	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110647	3.22987	3.276	0	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110648	3.30106	3.326	0	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110649	0.382315	0.409	0.121	0.072	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110650	0.311126	0.372	0.122	0.073	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110651	0.168748	0.17	0.135	0.081	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110652	0.0975591	0.128	0.145	0.086	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110653	1.80609	1.857	0.074	0.045	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110654	4.29771	4.342	0	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110655	0.311126	0.312	0.091	0.055	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110656	4.29771	4.342	0	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110657	2.80274	2.817	0.049	0.03	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110658	4.29771	4.342	0	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110659	2.80274	2.869	0.049	0.03	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
11110660	2.73155	2.78	0.049	0.03	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
